# Mots saisis sans accents par les directions et leur graphie correcte (V27__Harmonisation_textes_directions).
# Chaque entree a ete verifiee dans les contenus du Plan Strategique ; les mots a double lecture
# (a, ou, structures, mesures...) sont traites par la migration selon leur contexte.
accelere	accéléré
preservant	préservant
preventif	préventif
preventive	préventive
preventives	préventives
previsibles	prévisibles
previsionnel	prévisionnel
previsionnelle	prévisionnelle
previsions	prévisions
prevoir	prévoir
prevu	prévu
prevues	prévues
prevus	prévus
priorite	priorité
priorites	priorités
privee	privée
prives	privés
privilegie	privilégié
procedures	procédures
programmee	programmée
programmees	programmées
progres	progrès
prolongee	prolongée
proximite	proximité
qualifie	qualifié
qualifiee	qualifiée
qualifies	qualifiés
qualite	qualité
ramene	ramène
rapidite	rapidité
reactif	réactif
reactive	réactive
reactivite	réactivité
realisation	réalisation
realisations	réalisations
realisee	réalisée
realisees	réalisées
realiser	réaliser
realises	réalisés
reception	réception
reclamation	réclamation
reclamations	réclamations
recouvrees	recouvrées
recurrent	récurrent
recurrents	récurrents
reduction	réduction
reduire	réduire
reel	réel
reference	référence
reformes	réformés
regional	régional
regionale	régionale
regionales	régionales
regionaux	régionaux
regions	régions
reglementaire	réglementaire
reglementaires	réglementaires
reglementation	réglementation
reglementations	réglementations
regularite	régularité
regulation	régulation
regulier	régulier
reguliere	régulière
regulierement	régulièrement
regulieres	régulières
reguliers	réguliers
rehabiliter	réhabiliter
relevent	relèvent
remontee	remontée
remontees	remontées
remuneration	rémunération
renforce	renforcé
renforcee	renforcée
renforcees	renforcées
renouvele	renouvelé
rentabilite	rentabilité
reorganisees	réorganisées
repetees	répétées
repondre	répondre
reportees	reportées
reportes	reportés
representants	représentants
reputationnel	réputationnel
reseau	réseau
reserve	réserve
residuelle	résiduelle
residuelles	résiduelles
resistance	résistance
resister	résister
resolution	résolution
respecte	respecté
restes	restés
resultat	résultat
resultats	résultats
retrospectif	rétrospectif
revele	révèle
revision	révision
routiere	routière
saisonniere	saisonnière
schema	schéma
securisation	sécurisation
securise	sécurisé
securisee	sécurisée
securiser	sécuriser
securises	sécurisés
securite	sécurité
selectionner	sélectionner
sensibilise	sensibilisé
simplicite	simplicité
simplifiee	simplifiée
sincerite	sincérité
solvabilite	solvabilité
soutenabilite	soutenabilité
souverainete	souveraineté
specifiques	spécifiques
stabilite	stabilité
strategie	stratégie
strategies	stratégies
strategique	stratégique
strategiques	stratégiques
structure	structuré
structuree	structurée
superieur	supérieur
superieurs	supérieurs
surcout	surcoût
synthese	synthèse
systematique	systématique
systeme	système
systemes	systèmes
thies	thiès
tire	tiré
tournee	tournée
tournees	tournées
traites	traités
tres	très
tresorerie	trésorerie
troisieme	troisième
unifie	unifié
uniformises	uniformisés
urbanise	urbanisé
valide	validé
vehicules	véhicules
verifiables	vérifiables
vetustes	vétustes
visibilite	visibilité
volonte	volonté
vote	voté
